top,CARRY8,DSP48E2,DSP_ALU,DSP_A_B_DATA,DSP_C_DATA,DSP_MULTIPLIER,DSP_M_DATA,DSP_OUTPUT,DSP_PREADD,DSP_PREADD_DATA,FDRE,LUT1,LUT2,LUT3,LUT4,LUT5,LUT6,buildtime,fmax,slack
mult_128.vivado,84,50,50,50,50,50,50,50,50,50,187,,269,315,387,8,51,122.897,Inf,4.0
mult_16.vivado,,1,1,1,1,1,1,1,1,1,,,,,,,,105.36,Inf,4.0
mult_8.vivado,6,,,,,,,,,,16,,25,3,21,3,37,99.955,Inf,4.0
mult_512.vivado,2621,900,900,900,900,900,900,900,900,900,1024,1,110,19560,18744,1562,2360,828.144,Inf,4.0
mult_64.vivado,12,16,16,16,16,16,16,16,16,16,102,,46,31,36,50,46,103.74,Inf,4.0
mult_1.vivado,,,,,,,,,,,1,,1,,,,,145.428,Inf,4.0
mult_256.vivado,638,225,225,225,225,225,225,225,225,225,512,1,103,4515,4236,857,875,299.995,Inf,4.0
mult_2.vivado,,,,,,,,,,,4,,1,,3,,,115.908,Inf,4.0
mult_32.vivado,6,4,4,4,4,4,4,4,4,4,34,,47,,,,,98.513,Inf,4.0
mult_4.vivado,,,,,,,,,,,8,,2,2,1,1,14,95.783,Inf,4.0
